,,,,,,,,,,,,,,,,
Season â–¾,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Miami Heat,37,45,0.451,3,-2.92,90.9,-3,103.9,-1.7,106.7,1.1,,E. Spoelstra (37-45),L. Deng (5.4)
2013-14,NBA,Miami Heat*,54,28,0.659,1,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,Lost Finals,E. Spoelstra (54-28),L. James (15.9)
2012-13,NBA,Miami Heat*,66,16,0.805,1,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,Won Finals,E. Spoelstra (66-16),L. James (19.3)
2011-12,NBA,Miami Heat*,46,20,0.697,1,5.72,91.2,-0.1,106.6,2,100.2,-4.4,Won Finals,E. Spoelstra (46-20),L. James (14.5)
2010-11,NBA,Miami Heat*,58,24,0.707,1,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,Lost Finals,E. Spoelstra (58-24),L. James (15.6)
2009-10,NBA,Miami Heat*,47,35,0.573,3,1.99,89.6,-3.1,106.6,-1,104.1,-3.5,Lost E. Conf. 1st Rnd.,E. Spoelstra (47-35),D. Wade (13.0)
2008-09,NBA,Miami Heat*,43,39,0.524,3,0.49,89.9,-1.8,107.8,-0.5,107.6,-0.7,Lost E. Conf. 1st Rnd.,E. Spoelstra (43-39),D. Wade (14.7)
2007-08,NBA,Miami Heat,15,67,0.183,5,-8.53,90.2,-2.2,100.5,-7,110,2.5,,P. Riley (15-67),D. Wade (3.3)
2006-07,NBA,Miami Heat*,44,38,0.537,1,-1.21,89.9,-2,104.3,-2.2,105.3,-1.2,Lost E. Conf. 1st Rnd.,P. Riley (44-38),D. Wade (8.8)
2005-06,NBA,Miami Heat*,52,30,0.634,1,3.59,91.6,1.1,108.7,2.5,104.5,-1.7,Won Finals,S. Van Gundy (11-10) P. Riley (41-20),D. Wade (14.4)
2004-05,NBA,Miami Heat*,59,23,0.72,1,5.77,90.8,-0.1,110.2,4.1,103.1,-3,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Wade (11.0)
2003-04,NBA,Miami Heat*,42,40,0.512,2,-0.13,88,-2.1,102.2,-0.7,101.7,-1.2,Lost E. Conf. Semis,S. Van Gundy (42-40),E. Jones (9.1)
2002-03,NBA,Miami Heat,25,57,0.305,7,-5.13,87.8,-3.2,96.7,-6.9,102.4,-1.2,,P. Riley (25-57),B. Grant (7.7)
2001-02,NBA,Miami Heat,36,46,0.439,6,-1.84,87.4,-3.3,98.5,-6,100.2,-4.3,,P. Riley (36-46),E. Jones (10.5)
2000-01,NBA,Miami Heat*,50,32,0.61,2,1.73,87.1,-4.2,101.1,-1.9,98.5,-4.5,Lost E. Conf. 1st Rnd.,P. Riley (50-32),A. Mason (11.6)
1999-00,NBA,Miami Heat*,52,30,0.634,1,2.75,89.7,-3.4,104.5,0.4,101,-3.1,Lost E. Conf. Semis,P. Riley (52-30),A. Mourning (12.9)
1998-99,NBA,Miami Heat*,33,17,0.66,1,5.11,84.8,-4.1,104.7,2.5,98.9,-3.3,Lost E. Conf. 1st Rnd.,P. Riley (33-17),A. Mourning (7.9)
1997-98,NBA,Miami Heat*,55,27,0.671,1,5.09,87.9,-2.4,107.6,2.6,102,-3,Lost E. Conf. 1st Rnd.,P. Riley (55-27),T. Hardaway (11.7)
1996-97,NBA,Miami Heat*,61,21,0.744,1,5.56,88.2,-1.9,106.8,0.1,100.6,-6.1,Lost E. Conf. Finals,P. Riley (61-21),T. Hardaway (12.9)
1995-96,NBA,Miami Heat*,42,40,0.512,3,1.46,91.1,-0.7,105.3,-2.3,103.8,-3.8,Lost E. Conf. 1st Rnd.,P. Riley (42-40),A. Mourning (9.9)
1994-95,NBA,Miami Heat,32,50,0.39,4,-1.85,92.9,0,108.2,-0.1,109.9,1.6,,K. Loughery (17-29) A. Gentry (15-21),G. Rice (10.0)
1993-94,NBA,Miami Heat*,42,40,0.512,4,2.4,93.8,-1.3,109.5,3.2,106.7,0.4,Lost E. Conf. 1st Rnd.,K. Loughery (42-40),G. Rice (10.2)
1992-93,NBA,Miami Heat,36,46,0.439,5,-0.93,94.6,-2.2,107.7,-0.3,108.9,0.9,,K. Loughery (36-46),G. Long (6.5)
1991-92,NBA,Miami Heat*,38,44,0.463,4,-3.94,97.7,1.1,106.7,-1.5,110.9,2.7,Lost E. Conf. 1st Rnd.,K. Loughery (38-44),G. Rice (7.9)
1990-91,NBA,Miami Heat,24,58,0.293,6,-5.91,99.3,1.5,102,-5.9,108.1,0.2,,R. Rothstein (24-58),S. Douglas (5.4)
1989-90,NBA,Miami Heat,18,64,0.22,5,-9.59,101,2.7,99.3,-8.8,108.9,0.8,,R. Rothstein (18-64),S. Douglas (4.4)
1988-89,NBA,Miami Heat,15,67,0.183,6,-11.13,99.1,-1.5,97.8,-10,109,1.2,,R. Rothstein (15-67),G. Long (4.6)
